marca,modelo,version,precio,año,kilometros,combustible,transmision,potencia,puertas,link
Renault,Kangoo,E-Tech Electric 90CV,20900 €,2019.0,165100,Eléctrico,Manual,85,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/50154465-4360.htm
Peugeot,Partner,1.2 PureTech 110CV,19800,2021.0,128000,gasolina,M,105,3.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/91303161-2789.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,21100,2018.0,147300,DIESEL,Manual,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/85404934-5870.htm
Renault,Kangoo,1.5 Blue dCi 95CV Rapid,23400,2021.0,94600,Gasoil,Manual,95,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/51490896-3355.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,23800,2022.0,98400,DIESEL,manual,140,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/79283902-1596.htm
Nissan,NV400,2.3 dCi 110CV L2H2,21900,2023.0,41300,gasoil,automático,110,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/61363891-1721.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,35600,2023.0,60200,EV,M6,120,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/98916317-4871.htm
Peugeot,Expert,,27900,2022.0,59400,Diesel,Auto,100,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/62795451-790.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,27700,2024.0,25900 km,Hybrid,AT,102,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/69755431-6086.htm
Maxus,Deliver 9,2.0 T 150CV L3H2,13300,2020.0,143900,Diesel,manual,150,3.0,https://www.coches.net/vehiculos-industriales/maxus-deliver-9/25460259-496.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,19900,2023.0,34700,gasolina,Auto,100,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/57657844-4194.htm
Renault,Master,2.3 dCi 110CV L2H2 FWD,17800,2024.0,24900,gasoil,Manual,105,3.0,https://www.coches.net/vehiculos-industriales/renault-master/14990013-2225.htm
Peugeot,Expert,1.5 BlueHDi 100CV,16500 €,2019.0,173900,diesel,Manual,95,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/31824718-502.htm
Nissan,NV400,2.3 dCi 145CV L3H2 FWD,8700,2021.0,93900,DIESEL,manual,140,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv400/48576471-5151.htm
Nissan,NV200,1.5 dCi 110CV,29700 €,2021.0,90800,Gasoil,manual,110,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/26955907-2984.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,24200,2023.0,36000,DIESEL,Auto,120,3.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/65148347-831.htm
Opel,Combo,1.5 Diesel 100CV Cargo L2,25300,2024.0,18900,Diesel,Manual,100,3.0,https://www.coches.net/vehiculos-industriales/opel-combo/28837829-3953.htm
Renault,Trafic,2.0 dCi 90CV Furgon,12500,2017.0,242700,DIESEL,Manual,90,5.0,https://www.coches.net/vehiculos-industriales/renault-trafic/69338400-305.htm
Iveco,Daily,35S14 2.3 HPT L2H2,25800,2020.0,90200,DIESEL,Manual,130,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/36101315-1269.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,,2021.0,74900,Gasoil,Automática,114,3.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/58809791-5739.htm
Opel,Movano,2.3 CDTi 110CV L2H2,12100,2020.0,139200,Gasoil,M6,105,5.0,https://www.coches.net/vehiculos-industriales/opel-movano/78589838-1685.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,,2022.0,100700,gasolina,Auto,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/22772660-4167.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,34400,2023.0,44200,gasolina,Manual,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/45767883-2239.htm
Renault,Trafic,2.0 dCi 90CV Furgon,26100,2021.0,87500,MHEV,Manual,85,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/90376344-858.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,21000,2020.0,161300 km,DIESEL,M6,114,5.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/95781007-2392.htm
Renault,Trafic,2.0 Blue dCi 150CV Combi,26500,2021.0,90200,DIESEL,Manual,145,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/13750750-3225.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,16000,2016.0,322000,Híbrido,Manual,140,3.0,https://www.coches.net/vehiculos-industriales/man-tge/23495304-4038.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,21900,2023.0,38900,,manual,136,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/88731870-6216.htm
Mercedes-Benz,Sprinter,211 CDI Combi,30700,2022.0,63800,MHEV,DSG,100,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/45107371-3420.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,9100,2016.0,247400,DIESEL,Manual,145,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/39124803-3649.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,23100,23.0,57700,Gasoil,manual,177,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/73396399-6283.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,14800,2021.0,144400,Gasoil,MANUAL,135,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/13419583-2669.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,17700,2020.0,116300,gasoil,MANUAL,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/62404975-5407.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,28800,,,gasoil,Auto,90,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/78230419-5509.htm
Fiat,Ducato,2.0 Multijet 122CV Combi,22500,2021.0,99100,Gasoil,Manual,117,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/13351257-5149.htm
Renault,Master,2.3 dCi 145CV L3H2 RWD,22600 €,2023.0,33800km,Diésel,M,145,3.0,https://www.coches.net/vehiculos-industriales/renault-master/25158273-5750.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,39800,2024.0,19900,GASOLINA,M6,165,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/71608453-1031.htm
Volkswagen,Crafter,2.0 TDI 102CV L3H2,"22300,00",2020.0,133100,Diesel,Manual,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/98251709-2102.htm
Mercedes-Benz,Vito,119 CDI 4x4 Tourer Select,24600,22.0,87300,gasoil,DSG,150,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/29046531-5826.htm
Volkswagen,Caddy,2.0 TDI 75CV,42100,2024.0,23900,diesel,manual,75,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/40612597-5491.htm
Nissan,NV300,2.0 dCi 120CV L1H1,22200,2022.0,58400,Gasoil,manual,125,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/93881692-2027.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,14100,2020.0,138700,diesel,manual,140,3.0,https://www.coches.net/vehiculos-industriales/man-tge/13507469-5703.htm
Peugeot,Boxer,2.2 HDi 130CV L2H2,23700,2024.0,14500,Híbrido,manual,135,5.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/59781610-643.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,12700,2017.0,218000,DIESEL,Manual,145,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/49245574-6327.htm
Peugeot,Expert,1.5 BlueHDi 100CV,12900,2018.0,210500,Diesel,Manual,95,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/48035277-5245.htm
Peugeot,Expert,2.0 BlueHDi 150CV Standard Premium,27800,2024.0,21100,Diesel,manual,150,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/38158822-5471.htm
Maxus,Deliver 9,2.0 T 150CV L3H2,19200,2021.0,122100 km,DIESEL,MANUAL,155,5.0,https://www.coches.net/vehiculos-industriales/maxus-deliver-9/45713682-2672.htm
Peugeot,Partner,Electric 136CV,23000,2022.0,94800,Eléctrico,M,131,5.0,https://www.coches.net/vehiculos-industriales/peugeot-partner/47601994-1139.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,24400,2019.0,136500,Gasoil,DSG,170,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/12484293-3069.htm
Renault,Trafic,2.0 dCi 120CV L1H1,24300,2024.0,23300,Diésel,MANUAL,125,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/25490996-532.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,9500,2015.0,368600,diesel,manual,,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/86279500-2323.htm
Nissan,NV300,2.0 dCi 120CV L1H1,20600,2023.0,43800,diesel,manual,120,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/86784181-612.htm
Fiat,Doblo Cargo,1.3 Multijet 90CV,20200,2024.0,16700,Diésel,MANUAL,85,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/79754791-6479.htm
Opel,Movano,2.3 CDTI 163CV FWD,24900,2023.0,59200,gasolina,manual,168,3.0,https://www.coches.net/vehiculos-industriales/opel-movano/85368913-4983.htm
Opel,Movano,2.3 CDTi 110CV L2H2,11600,2019.0,150400,diesel,M6,110,5.0,https://www.coches.net/vehiculos-industriales/opel-movano/49378747-1774.htm
Nissan,NV300,1.6 dCi 95CV Combi,21700,2023.0,,Gasoil,,,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/97965688-5711.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,23100,2023.0,53500 km,diesel,M6,125,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/52292266-2855.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,33200,2023.0,25100,Diésel,Auto,140 CV,5.0,https://www.coches.net/vehiculos-industriales/man-tge/20979140-6663.htm
Citroën,Jumpy,2.0 BlueHDi 150CV XL Business,21000,2023.0,28200,Diésel,manual,150,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/36269372-3182.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,31700,2023.0,52100,Diesel,Manual,107,3.0,https://www.coches.net/vehiculos-industriales/man-tge/46375987-2867.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,23200,2022.0,51000km,Gasoil,Auto,182,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/91228073-1174.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,,2024.0,22600,Híbrido,MANUAL,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/98889317-373.htm
Toyota,Proace City,1.5 D-4D 100CV,23800,2022.0,48800,,Manual,105,5.0,https://www.coches.net/vehiculos-industriales/toyota-proace-city/48936750-1729.htm
Nissan,NV200,1.5 dCi 110CV,17700,2017.0,295200,DIESEL,manual,115,5.0,https://www.coches.net/vehiculos-industriales/nissan-nv200/46113994-4944.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,15600,2022.0,65000km,CNG,M6,175,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/48724938-3894.htm
Citroën,Jumpy,2.0 BlueHDi 120CV M,15500,2019.0,132100,DIESEL,DSG,125,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumpy/58737349-3187.htm
Citroën,Jumper,2.2 BlueHDi 140CV L2H2,12200,2019.0,206700,gasoil,MANUAL,145,3.0,https://www.coches.net/vehiculos-industriales/citroen-jumper/96017873-5142.htm
Mercedes-Benz,Citan,108 CDI Furgon,18800,2022.0,69400,Gasoil,MANUAL,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/86353427-3382.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,25200,2023.0,39400,Gasoil,MANUAL,120,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/94649276-346.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,13700,2020.0,122300,Hibrido,M6,182,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/30456936-5576.htm
Mercedes-Benz,Vito,111 CDI Furgon,40000,2024.0,30000,CNG,Manual,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/73925485-4538.htm
Peugeot,Expert,2.0 BlueHDi 120CV L1,17800,2021.0,90300,diesel,automático,120,3.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/41157840-114.htm
,Crafter,2.0 TDI 102CV L3H2,22600,2022.0,78900,Diesel,manual,97,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/31472713-6273.htm
Renault,Trafic,2.0 dCi 90CV Furgon,15100,2018.0,244800 km,DIESEL,M6,90,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/97788541-1543.htm
Iveco,Daily,35S14 2.3 HPT L2H2,37600,2023.0,44900,Electric,MANUAL,100,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/67325876-426.htm
Citroën,Berlingo,e-Berlingo Electric 136CV,17900,2021.0,106100,Eléctrico (BEV),Manual,141,3.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/80733475-2267.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,28600,2021.0,119200,Electric,manual,130,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/16568181-6255.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,27300,2023.0,,DIESEL,manual,130,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/23298322-5513.htm
Iveco,Daily,35S14 2.3 HPT L2H2,,2022.0,64000,Electric,Manual,100,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/18809464-5161.htm
Peugeot,Boxer,2.2 BlueHDi 140CV L3H3,27200,2022.0,76800,Hibrido,Auto,140,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/34337348-4617.htm
Ford,Transit,2.0 TDCi 170CV Custom Sport,18200,2019.0,161400,gasoil,manual,165,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/57316975-4368.htm
Mercedes-Benz,Sprinter,314 CDI L2H2 RWD,42200,2024.0,26200,Gasoil,AT,75,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/15385033-2686.htm
Volkswagen,Caddy,1.5 TSI 114CV,25500,2022.0,65500 km,Gasolina,AT,119,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/89196776-6804.htm
Renault,Trafic,2.0 dCi 90CV Furgon,20200,2020.0,142100 km,Diesel,Automático,90,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/46541301-6709.htm
Iveco,Daily,35C17 3.0 HPT L4H2,32800,2021.0,101600,DIESEL,M6,102,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/60342201-3684.htm
Peugeot,Boxer,2.2 HDi 130CV L2H2,22800,2022.0,73300,gasoil,AT,125,5.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/99598978-1257.htm
Renault,Kangoo,1.5 dCi 75CV Express,20600,2019.0,139600,Diésel,manual,75,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/60915593-5632.htm
Mercedes-Benz,Citan,112 CDI Mixto,29500,2024.0,24700,diesel,MANUAL,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/92737428-5195.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,31900,2024.0,17200,gasoil,automático,,3.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/60607407-866.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,29700,2023.0,33400,Diésel,MANUAL,141,5.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/11198019-3446.htm
Volkswagen,Transporter,2.0 TDI 110CV L1H1,7700,2017.0,201500,diesel,M,110,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/14644911-994.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,14500,2022.0,64500,Diesel,M,105,3.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/14036983-3025.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,25700,2022.0,50200,Híbrido,MANUAL,145,5.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/97187838-4561.htm
Nissan,NV300,2.0 dCi 120CV L1H1,13200,2017.0,298100,DIESEL,manual,120,3.0,https://www.coches.net/vehiculos-industriales/nissan-nv300/12019270-1014.htm
Opel,Movano,2.3 CDTi 110CV L2H2,13000,2018.0,207800,Gasoil,manual,110,3.0,https://www.coches.net/vehiculos-industriales/opel-movano/14785911-6861.htm
Iveco,Daily,35S16 2.3 Furgon,20900,2022.0,72400,DIESEL,M,75,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/23844224-3338.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,25000,2023.0,49300,gasoil,MANUAL,150 CV,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/92635780-2565.htm
Volkswagen,Caddy,2.0 TDI 102CV Maxi,26400,2020.0,109500,Diésel,Auto,102,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-caddy/49161586-4255.htm
MAN,TGE,3.5 2.0 TDI 140CV L3H3 AWD,30300,2023.0,38100,Gasoil,M6,140,3.0,https://www.coches.net/vehiculos-industriales/man-tge/45477028-5941.htm
Renault,Kangoo,1.5 dCi 75CV Express,"20900,00",2023.0,21000,gasoil,Automático,75,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/60837322-4574.htm
Iveco,Daily,35C17 3.0 HPT L4H2,39500,2024.0,24000,EV,M6,102,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/24782498-3651.htm
Fiat,Ducato,2.3 Multijet 160CV L3H3,9800,2019.0,161700,Diésel,M6,160,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/92202295-3250.htm
Volkswagen,Transporter,2.0 TDI 204CV 4Motion,19400,2020.0,107400,Electric,Manual,204,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/40418726-911.htm
Volkswagen,Crafter,2.0 TDI 140CV L4H3 Gran Volumen,14800,2022.0,83700,Gasoil,MANUAL,140,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/65474960-1792.htm
Renault,Kangoo,1.5 Blue dCi 95CV Rapid,27900,22.0,62800,diesel,MANUAL,90,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/77235211-4243.htm
Toyota,Proace,2.0 D-4D 150CV L2 Active,31200,2024.0,20000 km,diesel,Manual,150,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace/92672229-2312.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,8600,2019.0,151500,Diesel,AT,185 CV,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/74512027-571.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,32600,2022.0,72700,Gasoil,M,102,3.0,https://www.coches.net/vehiculos-industriales/man-tge/50149035-6212.htm
Citroën,Berlingo,e-Berlingo Electric 136CV,27800,2022.0,90200,Eléctrico,MANUAL,136,5.0,https://www.coches.net/vehiculos-industriales/citroen-berlingo/34914852-4959.htm
Fiat,Scudo,2.0 Multijet 145CV Furgon,17200,2021.0,99900,Autogás,Manual,145,3.0,https://www.coches.net/vehiculos-industriales/fiat-scudo/19327560-4071.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,19100,2022.0,43900,Eléctrico,Automática,100,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/82579699-5780.htm
Ford,Transit Connect,1.5 TDCi 120CV Sport,22400,2022.0,58700,Híbrido,Automático,125,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-connect/13755015-3027.htm
Mercedes-Benz,Citan,108 CDI Furgon,27800,2022.0,64600,GASOLINA,automático,110,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/43621735-3918.htm
Opel,Combo,1.2 Turbo 110CV,32600,2023.0,36800,Gasoil,MANUAL,105,5.0,https://www.coches.net/vehiculos-industriales/opel-combo/80965631-727.htm
Toyota,Proace,2.0 D-4D 120CV L1 Comfort,"24900,00",2018.0,169500,Eléctrico,MANUAL,120,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace/23825676-222.htm
Peugeot,Boxer,2.2 HDi 130CV L2H2,19900,,,Diésel,M,130,3.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/49961442-2285.htm
Fiat,Doblo Cargo,1.6 Multijet 105CV,19500,2022.0,75900,Gas Natural,M,,5.0,https://www.coches.net/vehiculos-industriales/fiat-doblo-cargo/61752356-1651.htm
Nissan,Primastar,2.0 dCi 114CV L2H1,23100,2022.0,56900,Diésel,Automático,119,3.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/37121108-93.htm
Mercedes-Benz,Sprinter,314 CDI L2H2 RWD,10600,2017.0,253400,DIESEL,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/34009808-3781.htm
Renault,Kangoo,E-Tech Electric 90CV,13700,,,Electric,Automático,90,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/35095772-3174.htm
Citroën,Jumper,2.2 BlueHDi 140CV L2H2,31000,2021.0,122000,Electrico,M6,140,5.0,https://www.coches.net/vehiculos-industriales/citroen-jumper/10055572-4130.htm
Iveco,Daily,35S16 2.3 Furgon,20900,2022.0,54800,MHEV,M,75CV,3.0,https://www.coches.net/vehiculos-industriales/iveco-daily/11021162-4653.htm
Hyundai,Staria,2.2 CRDi 177CV Cargo,19100,2018.0,239700,Eléctrico,Manual,182,5.0,https://www.coches.net/vehiculos-industriales/hyundai-staria/92844702-575.htm
Renault,Kangoo,1.5 Blue dCi 95CV Rapid,13700,2015.0,207700,DIESEL,M,95,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/56977115-1757.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,30100,2023.0,42400,diesel,Manual,102,3.0,https://www.coches.net/vehiculos-industriales/man-tge/32639809-2777.htm
Opel,Movano,2.3 CDTI 163CV FWD,30000 €,2023.0,47700,Electrico,DSG,163,5.0,https://www.coches.net/vehiculos-industriales/opel-movano/94745199-4612.htm
Renault,Master,2.3 dCi 145CV L3H2 RWD,21200,2019.0,159900,diesel,manual,140,5.0,https://www.coches.net/vehiculos-industriales/renault-master/76164263-6045.htm
Iveco,Daily,50C17 3.0 Caja Abierta,25400,2022.0,76000,DIESEL,Manual,130,5.0,https://www.coches.net/vehiculos-industriales/iveco-daily/90429634-1400.htm
Toyota,Proace,Proace Electric 75kWh 136CV,14600,2022.0,58800,Electrico,automático,136,3.0,https://www.coches.net/vehiculos-industriales/toyota-proace/57804163-668.htm
Mercedes-Benz,Sprinter,316 CDI Gran Volumen,42900,2022.0,73400,gasoil,manual,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/40367245-5634.htm
Maxus,Deliver 9,EV80 Electric 120CV,26600,2022.0,62300,Eléctrico,Manual,120,3.0,https://www.coches.net/vehiculos-industriales/maxus-deliver-9/99161003-1595.htm
Renault,Master,2.3 dCi 135CV Combi,26700,2024.0,29200,Diesel,DSG,135,3.0,https://www.coches.net/vehiculos-industriales/renault-master/71911115-3562.htm
Mercedes-Benz,Citan,110 CDI Tourer,20300,2018.0,216500,Eléctrico,M,102,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/23475040-5839.htm
Ford,Transit Courier,1.0 EcoBoost 100CV Sport,20600,2022.0,76700,Gasolina,MANUAL,100,5.0,https://www.coches.net/vehiculos-industriales/ford-transit-courier/38968247-5510.htm
Hyundai,H350,2.5 CRDi 170CV Combi,23600,2021.0,93100,Diesel,M,170,5.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/33315162-2249.htm
Nissan,Primastar,,12300,2018.0,187100,MHEV,automático,109,3.0,https://www.coches.net/vehiculos-industriales/nissan-primastar/21598904-3817.htm
Renault,Master,,15600,2017.0,268600km,gasoil,MANUAL,145,3.0,https://www.coches.net/vehiculos-industriales/renault-master/44561594-1421.htm
Mercedes-Benz,Vito,111 CDI Furgon,17500,2017.0,191400,Diesel,M,110,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/93202340-4187.htm
Mercedes-Benz,Citan,108 CDI Furgon,41100,2023.0,47600,diesel,Manual,150,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-citan/43952936-6602.htm
Volkswagen,Crafter,2.0 TDI 177CV L2H2,32200,2022.0,65100,Electric,Manual,182,5.0,https://www.coches.net/vehiculos-industriales/volkswagen-crafter/60194003-3902.htm
Volkswagen,Transporter,2.0 TDI 102CV Kombi,27800,2023.0,46000,Gasoil,M6,97,3.0,https://www.coches.net/vehiculos-industriales/volkswagen-transporter/58796148-430.htm
Renault,Trafic,2.0 dCi 120CV L1H1,20900,2017.0,183900,Eléctrico,MANUAL,120,3.0,https://www.coches.net/vehiculos-industriales/renault-trafic/10574487-4017.htm
Mercedes-Benz,Vito,114 CDI Tourer Pro,30700,2023.0,37500,GASOLINA,manual,75,5.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-vito/99812672-6445.htm
Mercedes-Benz,Sprinter,316 CDI L3H2,25500,2023.0,53800,Diesel,MANUAL,140,3.0,https://www.coches.net/vehiculos-industriales/mercedes-benz-sprinter/42131196-6342.htm
Peugeot,Boxer,2.0 BlueHDi 160CV L4H2,19500,2019.0,133100,Electric,manual,160,5.0,https://www.coches.net/vehiculos-industriales/peugeot-boxer/30000315-4265.htm
Fiat,Ducato,2.3 Multijet 130CV L2H2,23300,2019.0,163900,,MANUAL,130,3.0,https://www.coches.net/vehiculos-industriales/fiat-ducato/99825064-3623.htm
Peugeot,Expert,2.0 BlueHDi 150CV Standard Premium,21500,2022.0,94500,Gasoil,MANUAL,150,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/10956690-6389.htm
MAN,TGE,3.5 2.0 TDI 102CV L2H2,25800,2023.0,35200,Diesel,manual,97,3.0,https://www.coches.net/vehiculos-industriales/man-tge/69186667-5734.htm
Opel,Vivaro,2.0 CDTI 120CV L2H1,12100,2021.0,113700,Gasoil,M,120,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/76904158-1236.htm
Ford,Transit,2.0 EcoBlue 105CV Kombi,33100,2024.0,18400,Gasoil,MANUAL,105,3.0,https://www.coches.net/vehiculos-industriales/ford-transit/59102796-901.htm
Renault,Kangoo,1.5 Blue dCi 95CV Rapid,27400,2020.0,119000,Gasoil,Manual,100,5.0,https://www.coches.net/vehiculos-industriales/renault-kangoo/54592030-5378.htm
Opel,Vivaro,1.5 Diesel 100CV,29600,2024.0,23800,Gasoil,Manual,100,5.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/83065441-6060.htm
Peugeot,Expert,1.5 BlueHDi 100CV,21800,2020.0,,Hybrid,M,95,5.0,https://www.coches.net/vehiculos-industriales/peugeot-expert/35783955-1052.htm
Opel,Vivaro,2.0 Diesel 180CV Combi,13400,2017.0,206700,Diésel,MANUAL,,3.0,https://www.coches.net/vehiculos-industriales/opel-vivaro/91259673-6365.htm
Hyundai,H350,2.5 CRDi 136CV L2H2,15200,,,MHEV,MANUAL,131,3.0,https://www.coches.net/vehiculos-industriales/hyundai-h350/10545908-2031.htm
